SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Quotation,Services,,"Supply and replace an enthalpy wheel, rotation sensor, and install and plumb pre-heat coil on Energy Recovery Unit.",2019-07-04T20:00:00,Joe,Harasaki,4036787145,,2019-06-17T14:17:49,2019-06-17T14:22:14,,Elevation Place ERU Wheel Replacement,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=A48147F2-8383-41CC-B0AB-3E09DFF5BF4A,JX4420 Heat Exchangers and Steam Condensers - Repair  N4420C Heat Exchangers,"Proponents shall submit their quotation to the Town of Canmore by email to the attention of Joe Harasaki, Facility Maintenance Technician at joe.harasaki@canmore.ca. The quotation document is to be in PDF format only (.pdf), and all components shall be formatted and combined into one file that is attached to the email submission.  Responses by facsimile will not be accepted.",a48147f2-8383-41cc-b0ab-3e09dff5bf4a,7070,AB-2019-03886
Request for Quotes,Services,"Provide services to replace the ceiling in the Gymnasium at Eastview Middle School. The
existing ceiling is water stained, and the direct applied tiles have fallen off in many
locations. The existing ceiling does not have asbestos.","Provide services to replace the ceiling in the Gymnasium at Eastview Middle School. The
existing ceiling is water stained, and the direct applied tiles have fallen off in many
locations. The existing ceiling does not have asbestos. There are limited existing
drawings of the space but are available for review upon request. The roof over the
Gymnasium will be replaced over the summer and is being completed through a separate
contract.
 Contractor to demolish the existing ceiling and replace the ceiling as per the drawings
and specifications. Contractor is responsible for reinstalling the sprinkler system, and
basketball nets. The Owner has bought the new LED lights and Controls, Contractor to
install the lights and commission the lighting controls.
 Construction completion as identified in Section 00 41 41.",2019-07-11T21:00:00,Michele,Skinner,403-342-3742,403-347-8190,2019-06-27T16:52:28,2019-06-27T16:55:20,"Red Deer Public School District – Central Services
4747-53 Street, Red Deer, AB
Attention: Michele Skinner 
RFQ - 2019-03 Eastview Middle School Gym Ceiling REplacement",Eastview Middle School Gym Ceiling Replacement,Alberta,Open,NWPTA/TILMA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=0A687CCA-98D4-4C65-97D6-3E1D9F72243B,"5169F Suspended Ceilings - Installation and Repair  N5640H Tiles, Acoustical, Ceiling  N5640N Panel, Ceiling  N5820DDH Accessory, CCTV, Mount, Wall/Ceiling",,0a687cca-98d4-4c65-97d6-3e1d9f72243b,RFQ - 2019-03,AB-2019-04093
Request for Quotation,Goods,,The City of Red Deer (The “City”) invites interested vendors (respondents) to submit a quotation for the HIGH VOLUME PRINTER.,2019-07-26T19:30:59,Asha,Goda,403-342-8273,,2019-06-28T19:16:10,2019-06-28T20:47:33,"Quotations must be electronic submission only , through the Bidding System.",HIGH VOLUME PRINTER,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=9CBEDDF6-72D5-4734-B786-3E91A787AA81,"JX7025AJ Printers, Page, Laser - Maintenance  JX7025B Printers, Page, Other (Ion, Electrostatic, etc.) - Maintenance  JX7025BD Printers, Character, Ink Jet - Maintenance  N6740EB PRINTERS, PROJECTION, PHOTOGRAPHIC (ENLARGERS) - 35MM TO 2 1/4 X 3 1/4 CM B AND W AND COLOUR (VERTICAL)  N7025095 PRINTERS PAGE COLOUR  N7025104 PRINTERS, INK JET  N7195LE TABLE, DESKTOP, FOR MICROCOMPUTERS, PRINTERS, TERMINALS, ETC.  N7510JB RIBBONS, COMPUTER PRINTERS (OFFICE MACHINES)  N7530MB Paper - Copying, Bond, White for Photocopies, Printers, Fax and General Purpose","The closing time and date shall be determined by the Bidding System’s web clock. Late submissions are not permitted by the Bidding System.

Respondents are cautioned that the timing of the Quotation submission is based on when the Quotation is received by the Bidding System, not when a Quotation is submitted by a Respondent, as Quotation transmission can be delayed due to file transfer size, transmission speed, etc. For these reasons, it is recommended that Respondents allow sufficient time to upload their Submission and attachment(s) (if applicable) and to resolve any issues that may arise. 

The City will not accept Quotations by fax, email or hard copy.",9cbeddf6-72d5-4734-b786-3e91a787aa81,RFQ–2019-71,AB-2019-04133
Request for Tender,Construction,,"Provision of all labour, materials, and equipment required to provide General Contracting Services – Small Projects, on City owned/leased buildings and facilities on an as required basis. This includes
but is not limited to additions, renovations, emergency repairs and retrofits to various City facilities.",2019-07-29T22:00:00,Kelly,Wen,780-496-6085,,2019-07-02T17:05:13,2019-07-02T20:44:01,,General Contractors - Small Sized Project - Standing Arrangement,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=DF90F667-3631-4ACA-9FBA-402B6B572359,5112B Demolition Work  5114C Excavating and Earthmoving Work  5139C General Heavy Construction  K107A Landscaping and Horticultural Services,,df90f667-3631-4aca-9fba-402b6b572359,6963879(Doc1805897395),AB-2019-04155
Invitation to Tender,Construction,,"Construction of a new transit center at Mill Woods Town Center. The project includes a new transit center building, 19 bus bays, a covered pedestrian connector to the Valley Line LRT station, modifications to existing parking lots, underground utilities, and upgrading of adjacent roadways to accommodate bus traffic.",2019-07-16T22:00:00,Igor,Pospeshin,780-508-9456,780-496-5015,2019-06-21T16:21:12,2019-06-21T21:27:54,,City of Edmonton- LRT Mill Woods Transit Centre,Alberta,Open,NWPTA/TILMA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B64BD65B-6D86-4E9B-8458-418D06A051B0,"5154C Paving - Parking Areas  C211D Architect and Engineering Services - Buildings  C211E Landscape Architecture Services  M290B Parking Facilities  N5610LE Gravel, Road",,b64bd65b-6d86-4e9b-8458-418d06a051b0,WS1712723525,AB-2019-03987
Request for Quotation,Services,,"Removal and installation of two new boilers at Westwood High School, 221 Tundra Drive",2019-07-05T20:00:59,Nayef,Mahgoub,780-750-9950,,2019-06-21T17:11:52,2019-06-21T17:37:12,,Westwood Boiler Plant Upgrade,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=5A445134-A148-45F7-BCAC-41E002D2F0FB,5161AN Boilers - Installation and Repair,,5a445134-a148-45f7-bcac-41e002d2f0fb,2019-7305,AB-2019-03989
Request for Proposal,Services,,"The City of Wetaskiwin (the City) is requesting proposals from qualified, licensed and professional consulting firms to provide engineering services required for the completion of the wastewater treatment design and construction monitoring. The successful consultant will be responsible for provision of project management and resident inspection services during and post-construction.",2019-07-17T20:00:00,Sue,Howard,(780)361-4430,,2019-06-17T14:07:56,2019-06-17T14:12:57,See RFP,Wastewater Treatment Design and Construction Services,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F5279360-35B4-45F8-85A4-42D733903AC3,"C119A Architectual Services - Buildings  C119F Engineering Services - Buildings  C211A Drafting and Design Services  C211D Architect and Engineering Services - Buildings  C211E Landscape Architecture Services  C211F CADD Drafting and Technical Services - Building Systems  H900A Other Construction Quality Control, Testing, Inspect. and Tech. Services  S099A Sanitary Services  S099H Specialized Sanitary Services, Not Elsewhere Specified",See RFP,f5279360-35b4-45f8-85a4-42d733903ac3,WWT2019,AB-2019-03885
Request for Information,Goods,,The County is seeking information on options for the replacement of the existing in-car video camera system as well as information from potential suppliers who can support the existing system prior to replacement.,2019-07-19T20:00:00,Korrine,McKeage,780-968-8408,780-968-8413,2019-06-25T17:51:23,2019-06-25T17:59:09,"53109A HWY 779
Parkland County, AB  T7Z 1R1",In-Car Digital Video System,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=86AB1696-E53E-4192-9A3A-439C5698ED71,"JX5836 Video Recording and Reproducing Equipment - Repair  N5820AC Camera, Broadcast, Studio/OB (Outdoor Broadcast), Colour, Video  N5820AD Camera, Industrial, Video, Portable  N5836 Video Recording and Reproduction Equipment  N5836H Signal/Image Processing Equipment, Video  N5836J Accessories, Video  N5836LA Supports, Video Camera  N5836X Video Recording and Reproducing Equipment (50/60 Hertz, PAL/SECAM/NTSC)  N5965303 Microphones, Video Cameras  N7030315 COMPUTER SOFTWARE, ACQUISITION/PROCESSING OF ANALOG/DIGITAL,    SIGNALS (AUDIO,VIDEO,SEISMIC,ETC)INCL.MACH.VISION,VOICE RECOGN. INST.SIGNALS,ROBOTICS,NUM.MACH.CONT.ETC-OTHER THAN MICROCOMPUTER","Respondents are asked to submit four (4) hard copies of their submission including the signed Respondent Submission Form by the Submission Deadline stated above to the following address and to the attention of the Parkland County Contact:  

	Parkland County Centre
                53019A Hwy 779
	Parkland County, Alberta, T7Z 1R1
	RFI No. I190516ES In-Car           
                Digital Video System

	Attention:  
                Manager, Procurement Services",86ab1696-e53e-4192-9a3a-439c5698ed71,Request for Information No. I190516ES,AB-2019-04038
Request for Proposal,Goods,"ENMAX Power Corporation seeks a Respondent to provide a proposal for the immediate supply, delivery, service, maintenance and training of Warehouse and Yard Lift Equipment.","All proposed equipment must include; onsite warranty service and repair, operator training and safety orientation, and shall comply to the Canadian Standard Association, CSA Safety Standard B335-15 and those requirements in Schedule A – Draft Contract.

The highest four (4) qualified respondents from this RFP may be invited to future competitive procurement activities under the terms provided in Schedule A – Draft Contract. Potential future ENMAX forklift equipment requirements may vary from electric, propane, or diesel-powered, be for rough terrain or outdoor use and range from 2 tonnes to 15 tonnes of lift capacity.",2019-07-03T21:00:00,Ray,Chow,403-689-6774,,2019-05-06T17:09:38,2019-06-17T21:00:00,"Qualified proponents may obtain the RFP documents from PowerAdvocate.

Proposals must be submitted through PowerAdvocate.  Hard copies will not be accepted.  Failure to submit via PowerAdvocate will result in an non-compliant proposal.

*Qualified proponents will be invited to participate in PowerAd",Warehouse and Yard Lift Equipment,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B6E79359-D70C-4B9B-B0E2-4448A93D9AF9,"N3930E Truck, Forklift  N3930EB Truck, Forklift, Gasoline Engine","Please contact rchow@enmax.com for access to and obtaining RFP documents from PowerAdvocate.  If you are not currently registered with PowerAdvocate, please follow this link to register; https://www.poweradvocate.com/pR.do?okey=92100&pubEvent=true",b6e79359-d70c-4b9b-b0e2-4448a93d9af9,ENMAX RFP 19-2075,AB-2019-03079
Invitation to Tender,Construction,"Pinto South Pit (SML 980119) - Crushing, Stockpiling and Other Work","Pinto South Pit (SML 980119) - Crushing, Stockpiling and Other Work shall include Crush, Haul and Stockpile Gravel
Designation 4, Class 25 and Crush, Haul and Stockpile Gravel - Designation 4, Class 40",2019-07-08T20:00:00,Doug,Buyar,403-342-7650,403-342-7691,2019-06-19T20:07:39,2019-06-19T20:34:53,,Pinto South Pit (SML 980119) - 191-06747-00,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=562CAB00-6E6A-418E-BA8E-4593912532A3,"5139A Construction Services, Not Elsewhere Specified",,562cab00-6e6a-418e-ba8e-4593912532a3,AB-2019-00708,AB-2019-03942
Request for Proposal,Goods,,"The City of Edmonton (""the City"") invites bidders to submit bids for this Sourcing Event. This opportunity is for the supply and delivery of miscellaneous building supplies for planned and unplanned requirements on an if, as, and when required basis.",2019-07-09T22:00:00,Chris,Martens,(780)496-1678,(780)496-5015,2019-06-19T21:39:05,2019-06-19T22:10:12,,Building Supplies - Standing Arrangement,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=50F1E84C-1FD8-4093-90AE-45C7678D73B2,"N5305 Screws  N5510 Lumber and Related Basic Wood Material  N5510J Mouldings, Wood  N5520A Door Frames, Wood  N5530C Panels, Wood  N5530E Plywood, Softwood  N5610CD Concrete, Ready-Mix  N5640 Wallboard, Building Paper and Thermal Insulation Materials",Refer to the Sourcing Event Notification attached to this posting for further instructions and details.,50f1e84c-1fd8-4093-90ae-45c7678d73b2,6916932(Doc1783700911),AB-2019-03947
Request for Tender,Services,Two Bridge replacements within Westlock County,"Bridge File 08437 (SW 04-59-24-W4M) located 8 km west of Picardville on Township Road 590. Work includes the removal of the existing 6.1 m ""PG"" type concrete girder bridge on a treated timber substructure and replacement with a new 2 - 2400 mm diameter x 25.0 m invert length CSP culvert.  

Bridge File 73085 (SW 20-63-26-W4M) located 6 km east of Jarvie on Range Road 265. Work includes the removal of the existing 6.1 m ""PG"" type concrete girder bridge on a treated timber substructure and replacement with a new 2 - 1600 mm diameter x 23.0 m invert length CSP culvert.",2019-07-11T20:00:00,Natalie,Rains,780-349-3346,780-349-2012,2019-06-24T22:05:28,2019-06-24T22:35:10,"Westlock County 
10336 106 Street
Westlock, AB T7P 2G1",2019 Bridge Replacements Tender BF08437-19,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=DEA78C30-C589-4D6A-903F-461CD227E5BB,"5132A Bridges, Elevated Highways, Tunnels, Subways and Railroads","Westlock County 
Attn: Al Scott, Director of Infrastructure
2019 Bridge Replacements BF08437-19 
10336 106 Street
Westlock, AB T7P 2G1",dea78c30-c589-4d6a-903f-461cd227e5bb,08437-19 Bridge Replacements,AB-2019-04022
